interaction,zip_size,ops_per_interaction,merge_rate,replication_rate,cooperation_index,bloodied_branch_rate,mean_hp_ratio,genotype_diversity,opcode_entropy,role_entropy,striker_frac,defender_frac,leader_frac,hybrid_frac,replicator_frac,signal_convention_strength,grant_rate
100000,1001,118.735900,0.00501000,1.94212000,0.96078431,0.34108107,0.76866789,0.01171875,3.70973002,0.77825639,0.00097656,0.78710938,0.00292969,0.20898438,0.00292969,0.27929688,3.07342000
200000,419,110.015470,0.00263000,1.96524000,0.98039216,0.31353713,0.76521421,0.00390625,3.71477405,0.02039314,0.00000000,0.99804688,0.00000000,0.00195312,0.00097656,0.41406250,2.48262000
300000,428,106.704180,0.00176333,1.97602000,0.98039216,0.30241253,0.75164460,0.00390625,3.72782347,0.22887806,0.00000000,0.96289062,0.00000000,0.03710938,0.00781250,0.44335938,2.26552667
400000,127,105.011140,0.00133750,1.98174250,1.00000000,0.30118191,0.75220312,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.50000000,2.19977750
500000,127,103.976616,0.00107600,1.98520000,1.00000000,0.30046283,0.74906286,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.49316406,2.15982200
600000,127,103.283980,0.00090000,1.98752833,1.00000000,0.29987949,0.74028973,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.50781250,2.13318500
700000,127,102.792371,0.00077571,1.98918714,1.00000000,0.29950342,0.73922601,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.52050781,2.11415857
800000,127,102.428570,0.00068750,1.99042000,1.00000000,0.29926846,0.73762896,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.50781250,2.09988875
900000,127,102.146729,0.00061667,1.99138222,1.00000000,0.29916827,0.74568932,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.50585938,2.08879000
1000000,127,101.915768,0.00056300,1.99215600,1.00000000,0.29894619,0.75633143,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.48925781,2.07991100
1100000,127,101.726782,0.00051364,1.99277909,1.00000000,0.29879417,0.74672952,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.50097656,2.07264636
1200000,127,101.572050,0.00047333,1.99329417,1.00000000,0.29868040,0.75431936,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.49218750,2.06659250
1300000,127,101.440037,0.00043846,1.99374923,1.00000000,0.29860204,0.74852251,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.49511719,2.06147000
1400000,127,101.326580,0.00040929,1.99413214,1.00000000,0.29854726,0.74435464,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.50878906,2.05707929
1500000,127,101.229856,0.00038333,1.99446733,1.00000000,0.29846340,0.74263395,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.50683594,2.05327400
1600000,127,101.144522,0.00036188,1.99476188,1.00000000,0.29841636,0.73973680,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.52246094,2.04994437
1700000,127,101.070473,0.00034118,1.99502412,1.00000000,0.29837612,0.73987181,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.50488281,2.04700647
1800000,127,101.000936,0.00032333,1.99524611,1.00000000,0.29826475,0.74783951,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.49609375,2.04439500
1900000,127,100.940000,0.00030842,1.99544421,1.00000000,0.29818028,0.74512389,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.50878906,2.04205842
2000000,127,100.885908,0.00029500,1.99562150,1.00000000,0.29814179,0.73942968,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.50683594,2.03995550
2100000,127,100.835674,0.00028286,1.99578286,1.00000000,0.29807112,0.75482832,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.48437500,2.03805286
2200000,127,100.791231,0.00027136,1.99592409,1.00000000,0.29805551,0.74260794,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.50781250,2.03632318
2300000,127,100.751487,0.00026087,1.99606217,1.00000000,0.29802202,0.74412590,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.50585938,2.03474391
2400000,127,100.714172,0.00025333,1.99618125,1.00000000,0.29797946,0.76171542,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.48242188,2.03329625
2500000,127,100.679862,0.00024480,1.99630000,1.00000000,0.29794652,0.73587350,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.50683594,2.03196440
2600000,127,100.648115,0.00023654,1.99640385,1.00000000,0.29791289,0.75108011,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.48730469,2.03073500
2700000,127,100.619279,0.00022926,1.99649852,1.00000000,0.29789589,0.75185296,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.49023438,2.02959667
2800000,127,100.591610,0.00022179,1.99659857,1.00000000,0.29785693,0.74569924,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.51074219,2.02853964
2900000,127,100.567481,0.00021517,1.99668759,1.00000000,0.29784727,0.73619072,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.52441406,2.02755552
3000000,127,100.544261,0.00020933,1.99676433,1.00000000,0.29784267,0.74381160,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.50683594,2.02663700
3100000,127,100.521928,0.00020323,1.99683806,1.00000000,0.29781749,0.75838519,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.48242188,2.02577774
3200000,127,100.501371,0.00019844,1.99690719,1.00000000,0.29777879,0.76179577,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.48046875,2.02497219
3300000,127,100.482475,0.00019333,1.99697212,1.00000000,0.29776466,0.74982942,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.49218750,2.02421545
3400000,127,100.463865,0.00018882,1.99703265,1.00000000,0.29773953,0.74923846,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.49316406,2.02350324
3500000,127,100.447122,0.00018429,1.99709143,1.00000000,0.29771291,0.74882038,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.50097656,2.02283171
3600000,127,100.431548,0.00018056,1.99714889,1.00000000,0.29769812,0.75470901,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.48925781,2.02219750
3700000,127,100.415694,0.00017622,1.99720270,1.00000000,0.29769408,0.74515779,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.50878906,2.02159757
3800000,127,100.401578,0.00017184,1.99725237,1.00000000,0.29770440,0.75938387,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.47167969,2.02102921
3900000,127,100.387338,0.00016821,1.99729513,1.00000000,0.29770455,0.74539436,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.50585938,2.02049000
4000000,127,100.374032,0.00016525,1.99733750,1.00000000,0.29770622,0.75646129,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.47949219,2.01997775
4100000,127,100.361448,0.00016171,1.99737707,1.00000000,0.29769888,0.75038493,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.49804688,2.01949049
4200000,127,100.348956,0.00015810,1.99742190,1.00000000,0.29768773,0.74046579,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.50976562,2.01902643
4300000,127,100.337906,0.00015535,1.99745721,1.00000000,0.29767604,0.74730896,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.50390625,2.01858395
4400000,127,100.326849,0.00015273,1.99749432,1.00000000,0.29767310,0.75601059,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.48437500,2.01816159
4500000,127,100.315855,0.00015000,1.99753044,1.00000000,0.29763267,0.75633319,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.48828125,2.01775800
4600000,127,100.306924,0.00014783,1.99755696,1.00000000,0.29764727,0.72295739,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.54687500,2.01737196
4700000,127,100.296742,0.00014596,1.99759085,1.00000000,0.29763322,0.74792553,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.49414062,2.01700234
4800000,127,100.286922,0.00014354,1.99761958,1.00000000,0.29760538,0.73870920,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.50976562,2.01664813
4900000,127,100.278140,0.00014122,1.99764837,1.00000000,0.29758392,0.74993485,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.49707031,2.01630837
5000000,127,100.270097,0.00013880,1.99767900,1.00000000,0.29757606,0.75417610,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.48339844,2.01598220
5100000,127,100.262156,0.00013706,1.99770373,1.00000000,0.29757459,0.75597384,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.47949219,2.01566882
5200000,127,100.254061,0.00013462,1.99773269,1.00000000,0.29756286,0.74641271,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.49902344,2.01536750
5300000,127,100.247004,0.00013283,1.99775981,1.00000000,0.29757215,0.73848037,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.51367188,2.01507755
5400000,127,100.239238,0.00013111,1.99778611,1.00000000,0.29754705,0.73037390,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.52539062,2.01479833
5500000,127,100.231266,0.00012945,1.99780800,1.00000000,0.29752502,0.73841463,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.51171875,2.01452927
5600000,127,100.224570,0.00012804,1.99782946,1.00000000,0.29752253,0.74156563,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.51171875,2.01426982
5700000,127,100.218462,0.00012614,1.99785140,1.00000000,0.29752630,0.75238566,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.48730469,2.01401947
5800000,127,100.212042,0.00012483,1.99787328,1.00000000,0.29752487,0.74648569,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.50097656,2.01377776
5900000,127,100.205839,0.00012339,1.99789525,1.00000000,0.29750514,0.74777000,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.50683594,2.01354424
6000000,127,100.200451,0.00012217,1.99791600,1.00000000,0.29750777,0.75052708,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.49609375,2.01331850
6100000,127,100.194340,0.00012066,1.99793623,1.00000000,0.29750837,0.74151052,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.50976562,2.01310016
6200000,127,100.189077,0.00011919,1.99795661,1.00000000,0.29749726,0.74831636,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.49511719,2.01288887
6300000,127,100.183950,0.00011762,1.99797286,1.00000000,0.29748766,0.74668859,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.50000000,2.01268429
6400000,127,100.178758,0.00011609,1.99798953,1.00000000,0.29747577,0.74388040,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.51367188,2.01248609
6500000,127,100.174581,0.00011462,1.99800831,1.00000000,0.29749015,0.75818284,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.48242188,2.01229400
6600000,127,100.169790,0.00011333,1.99802455,1.00000000,0.29749000,0.75526345,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.49414062,2.01210773
6700000,127,100.165429,0.00011209,1.99804000,1.00000000,0.29749077,0.75335951,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.49023438,2.01192701
6800000,127,100.160462,0.00011118,1.99805309,1.00000000,0.29748264,0.75172479,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.49316406,2.01175162
6900000,127,100.155836,0.00011043,1.99806609,1.00000000,0.29747765,0.75162719,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.49316406,2.01158130
7000000,127,100.152033,0.00010886,1.99808057,1.00000000,0.29748238,0.74120645,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.51757812,2.01141586
7100000,127,100.148238,0.00010761,1.99809606,1.00000000,0.29748565,0.75257738,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.50097656,2.01125507
7200000,127,100.144250,0.00010667,1.99810847,1.00000000,0.29746988,0.74628307,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.50390625,2.01109875
7300000,127,100.140743,0.00010562,1.99812247,1.00000000,0.29746957,0.74558277,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.49707031,2.01094671
7400000,127,100.136636,0.00010500,1.99813554,1.00000000,0.29745633,0.73616837,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.51367188,2.01079878
7500000,127,100.132916,0.00010413,1.99814933,1.00000000,0.29747006,0.75992280,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.49023438,2.01065480
7600000,127,100.129555,0.00010289,1.99816408,1.00000000,0.29747184,0.74552045,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.49804688,2.01051461
7700000,127,100.126401,0.00010182,1.99817481,1.00000000,0.29746857,0.75054803,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.49804688,2.01037805
7800000,127,100.123118,0.00010077,1.99818590,1.00000000,0.29747469,0.75265030,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.48046875,2.01024500
7900000,127,100.120365,0.00009987,1.99819684,1.00000000,0.29747416,0.74781282,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.50097656,2.01011532
8000000,127,100.116641,0.00009900,1.99820862,1.00000000,0.29746653,0.74657330,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.49902344,2.00998887
8100000,127,100.113769,0.00009840,1.99821802,1.00000000,0.29746697,0.75368402,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.48535156,2.00986556
8200000,127,100.111038,0.00009744,1.99822890,1.00000000,0.29746875,0.74949413,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.50292969,2.00974524
8300000,127,100.107762,0.00009627,1.99823976,1.00000000,0.29746252,0.76463539,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.46679688,2.00962783
8400000,127,100.105290,0.00009571,1.99824845,1.00000000,0.29746963,0.73882898,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.51855469,2.00951321
8500000,127,100.101900,0.00009553,1.99825612,1.00000000,0.29745440,0.75218057,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.49023438,2.00940129
8600000,127,100.099212,0.00009477,1.99826570,1.00000000,0.29745118,0.74789873,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.49609375,2.00929198
8700000,127,100.096462,0.00009379,1.99827460,1.00000000,0.29744260,0.74906780,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.50097656,2.00918517
8800000,127,100.094164,0.00009307,1.99828489,1.00000000,0.29744646,0.75325916,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.49316406,2.00908080
8900000,127,100.091088,0.00009202,1.99829404,1.00000000,0.29743425,0.75142289,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.49121094,2.00897876
9000000,127,100.088228,0.00009133,1.99830233,1.00000000,0.29742693,0.75443250,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.48437500,2.00887900
9100000,127,100.085952,0.00009055,1.99830923,1.00000000,0.29743177,0.74308643,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.51074219,2.00878143
9200000,127,100.083506,0.00009000,1.99831728,1.00000000,0.29743547,0.74537282,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.49902344,2.00868598
9300000,127,100.081575,0.00009000,1.99832452,1.00000000,0.29743110,0.75247558,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.49316406,2.00859258
9400000,127,100.079047,0.00008968,1.99833255,1.00000000,0.29743156,0.74840940,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.49902344,2.00850117
9500000,127,100.076718,0.00008916,1.99834116,1.00000000,0.29742733,0.75016608,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.50781250,2.00841168
9600000,127,100.074316,0.00008844,1.99834812,1.00000000,0.29742315,0.74917827,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.48339844,2.00832406
9700000,127,100.072184,0.00008773,1.99835495,1.00000000,0.29742558,0.74582556,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.49609375,2.00823825
9800000,127,100.069561,0.00008735,1.99836163,1.00000000,0.29741849,0.74186167,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.50488281,2.00815418
9900000,127,100.067809,0.00008687,1.99836929,1.00000000,0.29742124,0.73977549,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.52148438,2.00807182
10000000,127,100.065709,0.00008650,1.99837440,1.00000000,0.29742177,0.74498010,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.51269531,2.00799110
10000000,127,100.065709,0.00008650,1.99837440,1.00000000,0.29742177,0.74498010,0.00097656,3.71813906,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.51269531,2.00799110
